,Network Measure,Score,Interaction,Gender,Strain,Group,File
0,betweenness centrality,0.08056875792141951,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,betweenness centrality,0.08657507183908046,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
2,betweenness centrality,0.08140418818129662,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
3,betweenness centrality,0.08082157258064518,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
4,betweenness centrality,0.08955983709273183,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
5,betweenness centrality,0.09033149171270717,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
6,betweenness centrality,0.08035833333333334,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
7,betweenness centrality,0.08102355072463768,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
8,betweenness centrality,0.09065656565656566,Centers-Close,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
9,betweenness centrality,0.08230281411018629,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
10,betweenness centrality,0.08617697594501718,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group1_Interaction_30min_cam_2_Thu_01_10_2019_mjpeg_tracks.mat
11,betweenness centrality,0.09058641975308641,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
12,betweenness centrality,0.08561070261437907,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
13,betweenness centrality,0.08914188351920693,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group4L_interaction_30min_cam_2_Thu_03_28_2019_mjpeg_tracks.mat
14,betweenness centrality,0.0852773132664437,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group5P_30minutes_interaction_cam_2_Wed_04_17_2019_mjpeg_tracks.mat
15,betweenness centrality,0.07759698825931598,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group6O_30minutes_interaction__cam_2_Wed_04_17_2019_mjpeg_tracks.mat
16,betweenness centrality,0.08033465871438038,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7R_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
17,betweenness centrality,0.08310785419015408,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7Z_30minutes_interaction_cam_2_Wed_06_19_2019_mjpeg_tracks.mat
18,betweenness centrality,0.08577694235588972,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group8M_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
19,betweenness centrality,0.08842887473460721,Centers-Close,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group9L_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
20,betweenness centrality,0.0810834590246355,Centers-Close,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group10J_interaction_30min_cam_2_Tue_07_16_2019_mjpeg_tracks.mat
21,betweenness centrality,0.09498248248248248,Centers-Close,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group11K_interaction_30min_cam_2_Tue_07_16_2019_mjpeg_tracks.mat
22,betweenness centrality,0.08480232136380124,Centers-Close,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group12H_interaction_30min_cam_2_Wed_07_17_2019_mjpeg_tracks.mat
