,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File
0,clustering,-0.5422465648153867,Head-Head,Male,NACvsCC,CC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,clustering,-0.6973173065687784,Head-Head,Male,NACvsCC,NAC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
2,clustering,-0.22799452130103734,Head-Head,Male,NACvsCC,CC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
3,clustering,-0.2480811107696734,Head-Head,Male,NACvsCC,NAC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
4,clustering,-0.3972090833394923,Head-Head,Male,NACvsCC,CC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
5,clustering,-0.26254553886998805,Head-Head,Male,NACvsCC,NAC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
6,clustering,-0.19920860590996028,Head-Head,Male,NACvsCC,CC,4,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
7,clustering,-0.9397960334181021,Head-Head,Male,NACvsCC,NAC,4,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
8,clustering,-0.25426731212452847,Head-Head,Male,NACvsCC,CC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
9,clustering,-0.9025261756729255,Head-Head,Male,NACvsCC,NAC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
10,clustering,-1.2532598128517125,Head-Head,Male,NACvsCC,CC,6,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
11,clustering,-1.2362300346117046,Head-Head,Male,NACvsCC,NAC,6,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
12,clustering,-1.0187742946563914,Head-Head,Male,NACvsCC,CC,7,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
13,clustering,-0.9497384175890861,Head-Head,Male,NACvsCC,NAC,7,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
14,clustering,-0.2695643123924944,Head-Head,Male,NACvsCC,CC,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
15,clustering,-0.9088478487006851,Head-Head,Male,NACvsCC,NAC,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
16,clustering,-0.13593556031432044,Head-Head,Male,NACvsCC,CC,9,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
17,clustering,-0.6116780158981503,Head-Head,Male,NACvsCC,NAC,9,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
18,clustering,-0.5069236734314667,Head-Head,Female,CCvsCC,CC1,10,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
19,clustering,-0.0906039515072874,Head-Head,Female,CCvsCC,CC2,10,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
20,clustering,-0.6197235416210051,Head-Head,Female,CCvsCC,CC1,11,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group1_Interaction_30min_cam_2_Thu_01_10_2019_mjpeg_tracks.mat
21,clustering,-0.7849662916109881,Head-Head,Female,CCvsCC,CC2,11,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group1_Interaction_30min_cam_2_Thu_01_10_2019_mjpeg_tracks.mat
22,clustering,-0.7857508136793163,Head-Head,Female,CCvsCC,CC1,12,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
23,clustering,-0.8626984676569532,Head-Head,Female,CCvsCC,CC2,12,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
24,clustering,-0.6443494458990872,Head-Head,Female,CCvsCC,CC1,13,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
25,clustering,-1.10520814661067,Head-Head,Female,CCvsCC,CC2,13,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
26,clustering,-0.8709850842776473,Head-Head,Female,CCvsCC,CC1,14,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group4L_interaction_30min_cam_2_Thu_03_28_2019_mjpeg_tracks.mat
27,clustering,0.6814562686686442,Head-Head,Female,CCvsCC,CC2,14,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group4L_interaction_30min_cam_2_Thu_03_28_2019_mjpeg_tracks.mat
28,clustering,-1.3987569640759903,Head-Head,Female,CCvsCC,CC1,15,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group5P_30minutes_interaction_cam_2_Wed_04_17_2019_mjpeg_tracks.mat
29,clustering,0.16621634778065159,Head-Head,Female,CCvsCC,CC2,15,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group5P_30minutes_interaction_cam_2_Wed_04_17_2019_mjpeg_tracks.mat
30,clustering,-0.3010077574889768,Head-Head,Female,CCvsCC,CC1,16,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group6O_30minutes_interaction__cam_2_Wed_04_17_2019_mjpeg_tracks.mat
31,clustering,-0.9161892369362342,Head-Head,Female,CCvsCC,CC2,16,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group6O_30minutes_interaction__cam_2_Wed_04_17_2019_mjpeg_tracks.mat
32,clustering,-0.5565819496237875,Head-Head,Female,CCvsCC,CC1,17,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7R_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
33,clustering,-0.8748245796689791,Head-Head,Female,CCvsCC,CC2,17,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7R_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
34,clustering,-0.6953632163037098,Head-Head,Female,CCvsCC,CC1,18,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7Z_30minutes_interaction_cam_2_Wed_06_19_2019_mjpeg_tracks.mat
