,Network Measure,Score,Interaction,Gender,Strain,Group,File
0,clustering,0.17919770212122185,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,clustering,0.34776828110161445,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
2,clustering,0.27517272079772076,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
3,clustering,0.1826663201663202,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
4,clustering,0.17136672997784114,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
5,clustering,0.010555555555555556,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
6,clustering,0.055906768837803315,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
7,clustering,0.1718013468013468,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
8,clustering,0.21046296296296296,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
9,clustering,0.25701736535069875,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
10,clustering,0.071955902390685,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group1_Interaction_30min_cam_2_Thu_01_10_2019_mjpeg_tracks.mat
11,clustering,0.05572916666666666,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
12,clustering,0.06896782554677292,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
13,clustering,0.26512543526432414,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group4L_interaction_30min_cam_2_Thu_03_28_2019_mjpeg_tracks.mat
14,clustering,0.12439755460588793,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group5P_30minutes_interaction_cam_2_Wed_04_17_2019_mjpeg_tracks.mat
