,Network Measure,Score,Interaction,Gender,Strain,Group,File
0,closeness centrality,0.35042598605098607,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,closeness centrality,0.3233465608465608,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
2,closeness centrality,0.34289393014393016,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
3,closeness centrality,0.34003426753426763,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
4,closeness centrality,0.3368044383599939,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
5,closeness centrality,0.3407479588312921,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
6,closeness centrality,0.3457630109354249,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
7,closeness centrality,0.3306571122480213,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
8,closeness centrality,0.33483068783068787,Head-Head,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
9,closeness centrality,0.3343251105155866,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
10,closeness centrality,0.3412182141529967,Head-Head,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group1_Interaction_30min_cam_2_Thu_01_10_2019_mjpeg_tracks.mat
