,Network Measure,Score,Interaction,Gender,Strain,Group,File
0,closeness centrality,0.33071869488536154,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,closeness centrality,0.3391843892439131,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
2,closeness centrality,0.33232082732082735,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
3,closeness centrality,0.39882241689933995,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
4,closeness centrality,0.3921957671957672,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
5,closeness centrality,0.36031285458368795,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
6,closeness centrality,0.3688081947292474,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
7,closeness centrality,0.3989153439153439,Head-Tail,Male,NACvsCC,0,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
8,closeness centrality,0.35187452758881327,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
9,closeness centrality,0.2756269841269841,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
10,closeness centrality,0.3270238095238095,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
11,closeness centrality,0.36393032364460937,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group4L_interaction_30min_cam_2_Thu_03_28_2019_mjpeg_tracks.mat
12,closeness centrality,0.3002083333333333,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group5P_30minutes_interaction_cam_2_Wed_04_17_2019_mjpeg_tracks.mat
13,closeness centrality,0.33003945945122415,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group6O_30minutes_interaction__cam_2_Wed_04_17_2019_mjpeg_tracks.mat
14,closeness centrality,0.33290709868834867,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7R_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
15,closeness centrality,0.365573963073963,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7Z_30minutes_interaction_cam_2_Wed_06_19_2019_mjpeg_tracks.mat
16,closeness centrality,0.3317013888888889,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group8M_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
17,closeness centrality,0.32275132275132273,Head-Tail,Female,CCvsCC,0,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group9L_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
18,closeness centrality,0.3441666666666667,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group10J_interaction_30min_cam_2_Tue_07_16_2019_mjpeg_tracks.mat
19,closeness centrality,0.3895230078563412,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group11K_interaction_30min_cam_2_Tue_07_16_2019_mjpeg_tracks.mat
20,closeness centrality,0.3435869107744107,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group12H_interaction_30min_cam_2_Wed_07_17_2019_mjpeg_tracks.mat
21,closeness centrality,0.3920105820105821,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group1_Interaction_0_30_min_cam_2_Wed_09_26_2018_mjpeg_tracks.mat
22,closeness centrality,0.34652496139338246,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group2_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat
23,closeness centrality,0.36177960927960934,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group3_Interaction_30min_cam_2_Thu_11_01_2018_mjpeg_tracks.mat
24,closeness centrality,0.3451722660055993,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group4_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
25,closeness centrality,0.3252664291726791,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group5I_Interaction_30min_cam_2_Mon_03_04_2019_mjpeg_tracks.mat
26,closeness centrality,0.3645213340451436,Head-Tail,Female,FCvsCC,0,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group6W_training_30min_interaction_cam_2_Fri_06_07_2019_mjpeg_tracks.mat
