,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File
0,clustering,0.08118766546292372,Head-Tail,Male,NACvsCC,CC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,clustering,-0.033114529497129425,Head-Tail,Male,NACvsCC,NAC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
2,clustering,-0.42164629160671346,Head-Tail,Male,NACvsCC,CC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
3,clustering,-0.3686806779988296,Head-Tail,Male,NACvsCC,NAC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
4,clustering,-0.3622885092418647,Head-Tail,Male,NACvsCC,CC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
5,clustering,0.7785569159448739,Head-Tail,Male,NACvsCC,NAC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
6,clustering,0.8761472527880004,Head-Tail,Male,NACvsCC,CC,4,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
7,clustering,0.8488650692145057,Head-Tail,Male,NACvsCC,NAC,4,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
8,clustering,-0.35013338193600396,Head-Tail,Male,NACvsCC,CC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
9,clustering,-1.2238901527144719,Head-Tail,Male,NACvsCC,NAC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
