,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File,Iteration,Total_Iterations
0,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,CC_1,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,1,5
1,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,CC_2,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,1,5
2,betweenness centrality,0.15000000000000002,Head-Tail,Male,FCvsCC,CC_3,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,1,5
3,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,FC_1,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,1,5
4,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,FC_2,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,1,5
5,betweenness centrality,0.25,Head-Tail,Male,FCvsCC,FC_3,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,1,5
6,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,CC_1,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,2,5
7,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,CC_2,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,2,5
8,betweenness centrality,0.25,Head-Tail,Male,FCvsCC,CC_3,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,2,5
9,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,FC_1,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,2,5
10,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,FC_2,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,2,5
11,betweenness centrality,0.25,Head-Tail,Male,FCvsCC,FC_3,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,2,5
12,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,CC_1,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,3,5
13,betweenness centrality,0.0,Head-Tail,Male,FCvsCC,CC_2,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat,3,5
