,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File,Iteration,Total_Iterations
0,eigenvector centrality,0.7071067811865475,Head-Tail,Female,FCvsCC,CC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
1,eigenvector centrality,0.3535533905932736,Head-Tail,Female,FCvsCC,CC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
2,eigenvector centrality,0.3535533905932742,Head-Tail,Female,FCvsCC,CC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
3,eigenvector centrality,0.3535533905932737,Head-Tail,Female,FCvsCC,FC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
4,eigenvector centrality,0.3535533905932739,Head-Tail,Female,FCvsCC,FC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
5,eigenvector centrality,4.6552433678064845e-17,Head-Tail,Female,FCvsCC,FC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,3
6,eigenvector centrality,0.7071067811865475,Head-Tail,Female,FCvsCC,CC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
7,eigenvector centrality,0.35355339059327384,Head-Tail,Female,FCvsCC,CC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
8,eigenvector centrality,0.35355339059327406,Head-Tail,Female,FCvsCC,CC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
9,eigenvector centrality,0.3535533905932737,Head-Tail,Female,FCvsCC,FC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
10,eigenvector centrality,0.3535533905932736,Head-Tail,Female,FCvsCC,FC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
11,eigenvector centrality,2.264562694679562e-16,Head-Tail,Female,FCvsCC,FC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,2,3
12,eigenvector centrality,0.7499999999999996,Head-Tail,Female,FCvsCC,CC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
13,eigenvector centrality,0.2500000000000003,Head-Tail,Female,FCvsCC,CC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
14,eigenvector centrality,0.2500000000000003,Head-Tail,Female,FCvsCC,CC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
15,eigenvector centrality,0.25000000000000017,Head-Tail,Female,FCvsCC,FC_1,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
16,eigenvector centrality,0.5000000000000002,Head-Tail,Female,FCvsCC,FC_2,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
17,eigenvector centrality,6.80069482718622e-17,Head-Tail,Female,FCvsCC,FC_3,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,3,3
