,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File,Iteration,Total_Iterations
0,eigenvector centrality,0.6526719749361618,Head-Tail,Male,NACvsCC,CC_1,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,1,2
1,eigenvector centrality,0.40337346401506735,Head-Tail,Male,NACvsCC,CC_2,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,1,2
2,eigenvector centrality,0.4033734640150676,Head-Tail,Male,NACvsCC,CC_3,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,1,2
3,eigenvector centrality,0.15407495309397326,Head-Tail,Male,NACvsCC,Nac_1,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,1,2
4,eigenvector centrality,0.4033734640150675,Head-Tail,Male,NACvsCC,Nac_2,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,1,2
5,eigenvector centrality,0.24929851092109462,Head-Tail,Male,NACvsCC,Nac_3,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,1,2
6,eigenvector centrality,0.7371816142008633,Head-Tail,Male,NACvsCC,CC_1,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,2,2
7,eigenvector centrality,0.43093804043526485,Head-Tail,Male,NACvsCC,CC_2,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,2,2
8,eigenvector centrality,0.4309380404352649,Head-Tail,Male,NACvsCC,CC_3,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,2,2
9,eigenvector centrality,0.14726363197869802,Head-Tail,Male,NACvsCC,Nac_1,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,2,2
10,eigenvector centrality,3.469073536750503e-18,Head-Tail,Male,NACvsCC,Nac_2,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,2,2
11,eigenvector centrality,0.25191566245924496,Head-Tail,Male,NACvsCC,Nac_3,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat,2,2
