,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File,Iteration,Total_Iterations
0,power centrality,0.11966122202056864,Oriented-Towards,Male,FCvsCC,CC_1,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,1,426
1,power centrality,0.1450695704779189,Oriented-Towards,Male,FCvsCC,CC_2,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,1,426
2,power centrality,0.0,Oriented-Towards,Male,FCvsCC,CC_3,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,1,426
3,power centrality,0.3737447065940714,Oriented-Towards,Male,FCvsCC,FC_1,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,1,426
4,power centrality,0.11966122202056864,Oriented-Towards,Male,FCvsCC,FC_2,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,1,426
5,power centrality,0.24186327888687234,Oriented-Towards,Male,FCvsCC,FC_3,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,1,426
6,power centrality,0.11966122202056864,Oriented-Towards,Male,FCvsCC,CC_1,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,2,426
7,power centrality,0.1450695704779189,Oriented-Towards,Male,FCvsCC,CC_2,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,2,426
8,power centrality,0.0,Oriented-Towards,Male,FCvsCC,CC_3,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,2,426
9,power centrality,0.3737447065940714,Oriented-Towards,Male,FCvsCC,FC_1,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,2,426
10,power centrality,0.11966122202056864,Oriented-Towards,Male,FCvsCC,FC_2,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,2,426
11,power centrality,0.24186327888687234,Oriented-Towards,Male,FCvsCC,FC_3,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,2,426
12,power centrality,0.24330874604847205,Oriented-Towards,Male,FCvsCC,CC_1,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,3,426
13,power centrality,0.14025289778714436,Oriented-Towards,Male,FCvsCC,CC_2,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,3,426
14,power centrality,0.0,Oriented-Towards,Male,FCvsCC,CC_3,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,3,426
15,power centrality,0.3719704952581664,Oriented-Towards,Male,FCvsCC,FC_1,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat,3,426
