,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File,Iteration,Total_Iterations
0,power centrality,0.15,Centers-Close,Female,FCvsCC,CC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,916
1,power centrality,0.2,Centers-Close,Female,FCvsCC,CC_2,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,916
2,power centrality,0.15,Centers-Close,Female,FCvsCC,CC_3,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,916
3,power centrality,0.15,Centers-Close,Female,FCvsCC,FC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,916
4,power centrality,0.15,Centers-Close,Female,FCvsCC,FC_2,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,916
5,power centrality,0.2,Centers-Close,Female,FCvsCC,FC_3,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,1,916
6,power centrality,0.2,Centers-Close,Female,FCvsCC,CC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,5,916
7,power centrality,0.15,Centers-Close,Female,FCvsCC,CC_2,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,5,916
8,power centrality,0.15,Centers-Close,Female,FCvsCC,CC_3,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,5,916
9,power centrality,0.2,Centers-Close,Female,FCvsCC,FC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,5,916
10,power centrality,0.15,Centers-Close,Female,FCvsCC,FC_2,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,5,916
11,power centrality,0.15,Centers-Close,Female,FCvsCC,FC_3,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,5,916
12,power centrality,-0.14285714285714285,Centers-Close,Female,FCvsCC,CC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,10,916
13,power centrality,0.42857142857142855,Centers-Close,Female,FCvsCC,CC_2,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,10,916
14,power centrality,0.42857142857142855,Centers-Close,Female,FCvsCC,CC_3,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,10,916
15,power centrality,0.2857142857142857,Centers-Close,Female,FCvsCC,FC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,10,916
16,power centrality,-0.0,Centers-Close,Female,FCvsCC,FC_2,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,10,916
17,power centrality,-0.0,Centers-Close,Female,FCvsCC,FC_3,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,10,916
18,power centrality,0.14285714285714285,Centers-Close,Female,FCvsCC,CC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,11,916
19,power centrality,0.2857142857142857,Centers-Close,Female,FCvsCC,CC_2,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,11,916
20,power centrality,0.2857142857142857,Centers-Close,Female,FCvsCC,CC_3,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,11,916
21,power centrality,0.2857142857142857,Centers-Close,Female,FCvsCC,FC_1,32,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat,11,916
