,Network Measure,Score,Interaction,Gender,Strain,Group,File
0,degree centrality,0.5333333333333333,Head-Tail,Male,NACvsCC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,degree centrality,0.5333333333333334,Head-Tail,Male,NACvsCC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
2,degree centrality,0.5333333333333333,Head-Tail,Male,NACvsCC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
3,degree centrality,0.5333333333333333,Head-Tail,Male,NACvsCC,4,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
4,degree centrality,0.5333333333333333,Head-Tail,Male,NACvsCC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
5,degree centrality,0.5333333333333333,Head-Tail,Male,NACvsCC,6,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
6,degree centrality,0.5333333333333334,Head-Tail,Male,NACvsCC,7,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
7,degree centrality,0.5333333333333334,Head-Tail,Male,NACvsCC,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
8,degree centrality,0.5333333333333333,Head-Tail,Female,CCvsCC,9,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
9,degree centrality,0.5333333333333333,Head-Tail,Female,CCvsCC,10,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
10,degree centrality,0.5333333333333333,Head-Tail,Female,CCvsCC,11,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
11,degree centrality,0.5333333333333334,Head-Tail,Female,CCvsCC,12,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group4L_interaction_30min_cam_2_Thu_03_28_2019_mjpeg_tracks.mat
12,degree centrality,0.5333333333333334,Head-Tail,Female,CCvsCC,13,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group5P_30minutes_interaction_cam_2_Wed_04_17_2019_mjpeg_tracks.mat
13,degree centrality,0.5333333333333335,Head-Tail,Female,CCvsCC,14,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group6O_30minutes_interaction__cam_2_Wed_04_17_2019_mjpeg_tracks.mat
14,degree centrality,0.5333333333333334,Head-Tail,Female,CCvsCC,15,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7R_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
15,degree centrality,0.5333333333333334,Head-Tail,Female,CCvsCC,16,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7Z_30minutes_interaction_cam_2_Wed_06_19_2019_mjpeg_tracks.mat
16,degree centrality,0.5333333333333333,Head-Tail,Female,CCvsCC,17,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group8M_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
17,degree centrality,0.5333333333333333,Head-Tail,Female,CCvsCC,18,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group9L_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
18,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,19,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group10J_interaction_30min_cam_2_Tue_07_16_2019_mjpeg_tracks.mat
19,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,20,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group11K_interaction_30min_cam_2_Tue_07_16_2019_mjpeg_tracks.mat
20,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,21,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group12H_interaction_30min_cam_2_Wed_07_17_2019_mjpeg_tracks.mat
21,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,22,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group1_Interaction_0_30_min_cam_2_Wed_09_26_2018_mjpeg_tracks.mat
22,degree centrality,0.5333333333333334,Head-Tail,Female,FCvsCC,23,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group2_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat
23,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,24,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group3_Interaction_30min_cam_2_Thu_11_01_2018_mjpeg_tracks.mat
24,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,25,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group4_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
25,degree centrality,0.5333333333333334,Head-Tail,Female,FCvsCC,26,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group5I_Interaction_30min_cam_2_Mon_03_04_2019_mjpeg_tracks.mat
26,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,27,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group6W_training_30min_interaction_cam_2_Fri_06_07_2019_mjpeg_tracks.mat
27,degree centrality,0.5333333333333337,Head-Tail,Female,FCvsCC,28,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group7U_30min_interaction__cam_2_Tue_06_11_2019_mjpeg_tracks.mat
