,Network Measure,Score,Interaction,Gender,Strain,Care,Group,File
0,eigenvector centrality,0.3092988517685229,Oriented-Towards,Male,NACvsCC,CC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,eigenvector centrality,0.32839514434479056,Oriented-Towards,Male,NACvsCC,NAC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
2,eigenvector centrality,0.32766702839413514,Oriented-Towards,Male,NACvsCC,CC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
3,eigenvector centrality,0.2918229349505281,Oriented-Towards,Male,NACvsCC,NAC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
4,eigenvector centrality,0.3087709376278762,Oriented-Towards,Male,NACvsCC,CC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
5,eigenvector centrality,0.30615955250454574,Oriented-Towards,Male,NACvsCC,NAC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
6,eigenvector centrality,0.299222623685093,Oriented-Towards,Male,NACvsCC,CC,4,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
7,eigenvector centrality,0.3188061899100875,Oriented-Towards,Male,NACvsCC,NAC,4,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
8,eigenvector centrality,0.309655012334015,Oriented-Towards,Male,NACvsCC,CC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
9,eigenvector centrality,0.32191747044523045,Oriented-Towards,Male,NACvsCC,NAC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
