,Network Measure,Score,Interaction,Gender,Strain,Group,File
0,eigenvector centrality,0.3371062719402679,Head-Head,Male,NACvsCC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,eigenvector centrality,0.32902361133388996,Head-Head,Male,NACvsCC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group4N_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
2,eigenvector centrality,0.32583892501495,Head-Head,Male,NACvsCC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
3,eigenvector centrality,0.31783529040382363,Head-Head,Male,NACvsCC,4,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
4,eigenvector centrality,0.33960926302864886,Head-Head,Male,NACvsCC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
5,eigenvector centrality,0.28325431957974334,Head-Head,Male,NACvsCC,6,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
6,eigenvector centrality,0.33943134804993147,Head-Head,Male,NACvsCC,7,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
7,eigenvector centrality,0.34803821341323715,Head-Head,Male,NACvsCC,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
8,eigenvector centrality,0.3315628650691371,Head-Head,Male,NACvsCC,9,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
9,eigenvector centrality,0.30385223744125217,Head-Head,Female,CCvsCC,10,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
10,eigenvector centrality,0.3173290591819548,Head-Head,Female,CCvsCC,11,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group1_Interaction_30min_cam_2_Thu_01_10_2019_mjpeg_tracks.mat
11,eigenvector centrality,0.34536362475435345,Head-Head,Female,CCvsCC,12,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
12,eigenvector centrality,0.327980210850553,Head-Head,Female,CCvsCC,13,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
13,eigenvector centrality,0.33000853133300406,Head-Head,Female,CCvsCC,14,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group4L_interaction_30min_cam_2_Thu_03_28_2019_mjpeg_tracks.mat
14,eigenvector centrality,0.3239676665654167,Head-Head,Female,CCvsCC,15,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group5P_30minutes_interaction_cam_2_Wed_04_17_2019_mjpeg_tracks.mat
15,eigenvector centrality,0.3270645330320539,Head-Head,Female,CCvsCC,16,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group6O_30minutes_interaction__cam_2_Wed_04_17_2019_mjpeg_tracks.mat
16,eigenvector centrality,0.32096692892192136,Head-Head,Female,CCvsCC,17,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7R_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
17,eigenvector centrality,0.34118646220581017,Head-Head,Female,CCvsCC,18,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group7Z_30minutes_interaction_cam_2_Wed_06_19_2019_mjpeg_tracks.mat
18,eigenvector centrality,0.32954266496340634,Head-Head,Female,CCvsCC,19,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group8M_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
19,eigenvector centrality,0.3346935715764709,Head-Head,Female,CCvsCC,20,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group9L_interaction_30min_cam_2_Thu_08_01_2019_mjpeg_tracks.mat
20,eigenvector centrality,0.32800394735032945,Head-Head,Female,FCvsCC,21,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group10J_interaction_30min_cam_2_Tue_07_16_2019_mjpeg_tracks.mat
