,Network Measure,Score,Interaction,Gender,Strain,Group,File
0,eigenvector centrality,0.3075114348681118,Head-Tail,Male,NACvsCC,1,fixed_Male-NacvsCC_3vs3Males_P60_CCvsNAC_Group8V_Interaction_30min_cam_2_Sat_09_07_2019_mjpeg_tracks.mat
1,eigenvector centrality,0.3180151149093967,Head-Tail,Male,NACvsCC,2,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group5O_interaction_30min_cam_2_Tue_08_06_2019_mjpeg_tracks.mat
2,eigenvector centrality,0.3146510179587322,Head-Tail,Male,NACvsCC,3,fixed_Male-NacvsCC_3vs3Males_P60_NACvsCC_Group6P_interaction_30min_cam_2_Wed_08_07_2019_mjpeg_tracks.mat
3,eigenvector centrality,0.3524164290416415,Head-Tail,Male,NACvsCC,4,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group1F_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
4,eigenvector centrality,0.35487998015741135,Head-Tail,Male,NACvsCC,5,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group2G_interaction_30min_cam_2_Wed_07_24_2019_mjpeg_tracks.mat
5,eigenvector centrality,0.3324223302576868,Head-Tail,Male,NACvsCC,6,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group3I_interaction_30min_cam_2_Tue_07_30_2019_mjpeg_tracks.mat
6,eigenvector centrality,0.3324509880928968,Head-Tail,Male,NACvsCC,7,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group7R_interaction_30min_cam_2_Wed_08_28_2019_mjpeg_tracks.mat
7,eigenvector centrality,0.355366901708814,Head-Tail,Male,NACvsCC,8,fixed_Male-NacvsCC_3vs3Males_P60_NacvsCC_Group9X_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
8,eigenvector centrality,0.3596020995182124,Head-Tail,Female,CCvsCC,9,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group10Q_interaction_30min_cam_2_Thu_08_08_2019_mjpeg_tracks.mat
9,eigenvector centrality,0.2620292047042211,Head-Tail,Female,CCvsCC,10,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group2G_interaction_30mins_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
10,eigenvector centrality,0.26937401332766386,Head-Tail,Female,CCvsCC,11,fixed_Female-CCvsCC_3vs3Females_P60_CCvsCC_Group3K_interaction_30mins_cam_2_Thu_03_14_2019_mjpeg_tracks.mat
